digit,n_09,percent_09,n_last,percent_last
0,213,0.024356775300171527,1491,0.1704974271012007
1,303,0.034648370497427104,674,0.07707261292166953
2,739,0.08450543167524299,882,0.10085763293310464
3,879,0.10051457975986278,701,0.0801600914808462
4,837,0.09571183533447684,536,0.06129216695254431
5,1067,0.1220125786163522,1174,0.1342481417953116
6,886,0.10131503716409376,831,0.09502572898799314
7,2413,0.2759291023441967,884,0.1010863350485992
8,945,0.10806174957118353,588,0.06723842195540308
9,463,0.05294453973699257,984,0.11252144082332761
